timestamps,aAcc,aJerk,aHeight,aVelocity
61.428,-0.0604177831564456,0.0222341649645103,-0.9685106832007422,1.0767125764920698
61.443,-0.0600654017197026,0.0234920957828649,-0.9694143070873134,1.0621781390649088
61.458,-0.0602425471617333,-0.0118096961353818,-0.970316616703924,1.047630157136474
61.478,-0.0593874204847573,0.0427563338487968,-0.9715129163803892,1.028211861805628
61.493,-0.0577163511346725,0.11140462333898,-0.972391194667535,1.013632580972768
61.508,-0.0550856905747298,0.175377370662837,-0.9732372099803556,0.9990403679379081
61.523,-0.0530199687902008,0.1377147856352626,-0.9740480024255924,0.9844357288448629
61.542,-0.051816606571613,0.0633348536098926,-0.9750439498915296,0.9659193552978517
61.561,-0.0519164025157934,-0.005252418114759,-0.9760294134778598,0.9473841583458441
61.572,-0.0517762821743712,0.0127382128565594,-0.9765997232436558,0.9366446980938731
61.587,-0.0514328036088009,0.0228985710380168,-0.9773737913870296,0.9219898967341423
61.607,-0.0511044857444815,0.016415893215974,-0.9783991642805624,0.9024321671774703
61.622,-0.0500159846586498,0.0725667390554435,-0.9791575678085858,0.8877504916868012
61.637,-0.0482665597854925,0.1166283248771505,-0.9798946868919168,0.873057599776547
61.652,-0.0472090574517345,0.0705001555838646,-0.980610754021196,0.8583538089696979
61.671,-0.0462674901921751,0.0495561715557625,-0.9814987812238132,0.839713768384872
61.686,-0.0449874509251255,0.085335951136634,-0.982183193282193,0.8249861535760764
61.701,-0.0445637491957615,0.0282467819575997,-0.9828548272830996,0.8102483684218361
61.716,-0.0437770739944785,0.0524450134188686,-0.9835173834570266,0.7955005768412847
61.736,-0.0426875122450916,0.0544780874693559,-0.984382029319422,0.7758215827135241
61.751,-0.0408640652970291,0.1215631298708266,-0.985008666150988,0.7610511524974954
61.766,-0.0401074811483805,0.0504389432432342,-0.9856159527493288,0.7462714678557425
61.781,-0.0399331460715632,0.0116223384544862,-0.9862162574534784,0.7314827262792208
61.801,-0.0398544505291411,0.0039347771211056,-0.9870141334194856,0.7117504223704881
61.815,-0.0397898665189853,0.0046131435825624,-0.9875716436388222,0.6979283219310842
61.83,-0.0413622132988429,-0.104823118657171,-0.988180284237456,0.6831101824720116
61.845,-0.041025578421765,0.0224423251385266,-0.9887981926753604,0.6682828438951649
61.865,-0.0393155406736802,0.0855018874042245,-0.9896016038663148,0.648498845929745
61.88,-0.0370927370582823,0.148186907693191,-0.9901746659493048,0.6336505239061273
61.895,-0.0344064513772668,0.1790857120676916,-0.9907109098625712,0.6187938820875377
61.909,-0.0322269557171956,0.1556782614336996,-0.9911773437122324,0.6049206643125182
61.929,-0.0316276905287722,0.0299632594211682,-0.9918158901746924,0.5850907319736459
61.945,-0.0323543296313921,-0.0454149439137513,-0.9923277463359736,0.5692175828815623
61.959,-0.0332491063092259,-0.0639126198452564,-0.992786970387558,0.5553217798644947
61.974,-0.0336029963129629,-0.0235926669158088,-0.9932883611572244,0.5404262148779153
61.994,-0.0331234133455264,0.0239791483718183,-0.9939556252538092,0.5205537750138018
62.009,-0.0318072089228849,0.087746961509435,-0.9944426049208224,0.5056407882874916
62.024,-0.0300180831258316,0.1192750531368794,-0.9949062946111876,0.49072067154100096
62.039,-0.0289160325412822,0.0734700389699555,-0.9953483004786912,0.47579376207782625
62.058,-0.0289984115003214,-0.0043357346862727,-0.9958984876970864,0.4568769175901581
62.074,-0.0296926055487887,-0.0433871280292089,-0.9963680158334792,0.44093878556191535
62.088,-0.0304164508856725,-0.051703238348836,-0.9967887792285206,0.42698668799647843
62.104,-0.0303109462444322,0.006594040077524,-0.9972745984055612,0.41103418097540745
62.123,-0.0290784698255883,0.0648671799391546,-0.9978387978582264,0.39208060371090314
62.138,-0.0277974655469943,0.0854002852395975,-0.9982653673735208,0.37710982247166447
62.153,-0.0260957334843325,0.1134488041774474,-0.9986695663662556,0.36213281046861556
62.168,-0.0250475173573487,0.0698810751322508,-0.9990531407475682,0.3471498901652614
62.188,-0.025961335896957,-0.0456909269804057,-0.9995632292801112,0.32716372646498143
62.203,-0.0264638058305237,-0.033497995571114,-0.9999564178430675,0.31216732911155703
62.217,-0.0270165601818899,-0.0394824536690223,-1.0003307804051544,0.29816531872382374
62.234,-0.0272848856896494,-0.0157838533976189,-1.000792342695063,0.28115577217746884
62.252,-0.0264636832659981,0.0456223568695181,-1.0012760798156637,0.26313715637487156
62.267,-0.0245676192531689,0.126404267521939,-1.0016588145845573,0.24811514466686932
62.282,-0.0236528203922858,0.0609865907255653,-1.002020467881898,0.23308755004837742
62.297,-0.0231767459829921,0.031738293952916,-1.0023716896297126,0.21805460886703984
62.317,-0.0231778414166736,-5.477168407707321e-05,-1.0028352355037091,0.19800253961570244
62.332,-0.0233452518034606,-0.0111606924524679,-1.0031841587028605,0.18295739415915252
62.346,-0.0239959973452243,-0.0464818244117066,-1.0035155474469009,0.1689104962161085
62.361,-0.0241002240916365,-0.0069484497608127,-1.0038762691076772,0.15385505759194854
62.381,-0.0228407135710302,0.0629755260303079,-1.004345678484304,0.13377283811602564
62.396,-0.0212235408018912,0.1078115179425942,-1.0046761603921008,0.11870517432445205
62.411,-0.0203860022337032,0.055835904545866,-1.0049882319648678,0.10363269138177424
62.426,-0.0200485955964051,0.0224937758198716,-1.0052914914485935,0.08855559345617274
62.446,-0.0204873982559536,-0.0219401329774315,-1.005696851387117,0.06844571002781955
62.461,-0.0216696663149864,-0.0788178706021813,-1.006013029371399,0.053357885922130144
62.475,-0.0217275717452327,-0.0041361021604496,-1.0063168100378206,0.03927157704626264
62.491,-0.0212847412630363,0.0276769051372779,-1.0066609085418867,0.02316775529762674
62.51,-0.0204312620357107,0.0449199593329298,-1.0070572105732247,0.0040374331660348395
62.525,-0.018633463704532,0.11985322207858,-1.0073501960162763,0.011070622383386861
62.54,-0.0175595428722967,0.0715947221490126,-1.007621643565603,0.02618291118025156
62.555,-0.0163769761156622,0.0788377837756322,-1.0078761674580123,0.04129914476292916
62.575,-0.0165950973260233,-0.0109060605180549,-1.0082058881924292,0.061459965319436656
62.59,-0.0172999656532564,-0.0469912218155344,-1.0084601011647738,0.07658496023961626
62.604,-0.0182454250650572,-0.0675328151286486,-1.008708918899802,0.09070514338006407
62.62,-0.0188917016034473,-0.0403922836493864,-1.00900601591315,0.10684686285856596
62.639,-0.0187587765136907,0.0069960573556083,-1.009363695455263,0.12602137511657147
62.654,-0.0178334205832104,0.0616903953653486,-1.0096381369334897,0.14116388885948766
62.669,-0.0162515280315549,0.1054595034437478,-1.0098937740481002,0.15631037819184299
62.684,-0.0149485066344041,0.0868680931433815,-1.010127774308095,0.17146053980451498
62.706,-0.0148858574009604,0.0028476924292574,-1.010455952312484,0.19368696079734699
62.719,-0.0157464329485748,-0.0661981190472647,-1.010655062199756,0.20682418239167458
62.734,-0.0160316897899601,-0.0190171227590233,-1.0108933981202952,0.22198579584407557
62.749,-0.0160420131177918,-0.0006882218554456,-1.0111339508921031,0.23715100096166916
62.768,-0.0154747781342408,0.0298544728184786,-1.0114333604089976,0.25636539041902784
62.783,-0.0156364475191992,-0.0107779589972282,-1.0116666946013984,0.27153864083160645
62.798,-0.0147983433357588,0.0558736122293602,-1.0118949555328105,0.28671535320761354
62.813,-0.014662692464622,0.009043391409117,-1.0121159133013131,0.30189543472387004
62.833,-0.015164873839673,-0.025109068752554,-1.0124141889643563,0.32214073574652274
62.848,-0.0153817724652984,-0.0144599083750302,-1.0126432888116437,0.33732866682984336
62.865,-0.015875264114685,-0.0290289205521485,-1.0129089736225736,0.35454586106053726
62.878,-0.0169736189352391,-0.084488832350327,-1.0131224913623982,0.36771506558293765
62.897,-0.0174556791778268,-0.0253715917151431,-1.0134495696944723,0.38696750016297626
62.912,-0.0174945581360841,-0.0025919305504846,-1.013711696474327,0.40217120965924286
62.927,-0.0161914070175637,0.0868767412346912,-1.013964341212979,0.41737877994189826
62.942,-0.0147631950928541,0.0952141283139659,-1.0141965007288072,0.4325899862564622
62.962,-0.013411297235125,0.0675948928864472,-1.014478245652087,0.45287673372027426
62.977,-0.0123066912738174,0.0736403974205367,-1.0146711305659042,0.46809535404190267
62.992,-0.011238596329532,0.0712063296190234,-1.0148477202229294,0.48331674542281944
63.007,-0.0109702137223131,0.0178921738145962,-1.0150142862983182,0.4985407104717293
63.029,-0.0113531745223269,-0.0174073090915354,-1.0152598435690094,0.5208737259002757
63.041,-0.0124876192971221,-0.0945370645663177,-1.0154028883319262,0.5330577022916746
63.056,-0.0131874247527825,-0.0466536970440246,-1.0155954511623004,0.5482901898378819
63.071,-0.013711291221135,-0.0349244312234954,-1.015797191532105,0.5635256346580905
63.091,-0.0135119138124686,0.0099688704333173,-1.016069423582441,0.583844300809239
63.106,-0.0126627085150214,0.0566136864964739,-1.0162657332498972,0.5990868144854821
63.121,-0.0124178792514442,0.0163219509051509,-1.0164538376581458,0.614332211267293
63.136,-0.0124864639776696,-0.0045723150816928,-1.016640620232364,0.6295804197014724
63.156,-0.0115728979208338,0.0456783028417986,-1.0168812138513492,0.6499156380423056
63.171,-0.010913678866915,0.0439479369279148,-1.017049863177257,0.6651701211200206
63.188,-0.0107610077842768,0.0089806519198971,-1.0172340980137924,0.6824615347901476
63.2,-0.0096260262531391,0.0945817942614688,-1.017356420218017,0.6946690778995389
