timestamps,acc_x,acc_y,acc_z,aAcc,aStages,aJerk,aVelocity,avStages,aHeight,accelerations_direction,velocities_direction,heights_direction,jerk_direction,start_jerks,start_accelerations,start_velocities,start_heights,actual_timestamps
0.8119999999999998,,,,0.5602993795635315,,0.6804830397694437,0.1702835519485332,,0.033587057940201774,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.125
0.8279999999999998,,,,0.5726025905795621,,0.6662795711732666,0.1794808066942261,,0.03638517280934387,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.141
0.8439999999999999,,,,0.584607488746384,,0.6476350180977247,0.1888725263133818,,0.03933199947340477,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.157
0.8589999999999995,,,,0.5967312060389053,,0.7055767021727894,0.1978582280722852,,0.04223248013129717,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.172
0.8749999999999996,,,,0.6087479876947165,,0.648377736159555,0.2076361006067024,,0.04547643476072907,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.188
0.8909999999999996,,,,0.6197056885356657,,0.5821851852306765,0.2175977690010936,,0.048878305717591476,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.204
0.9060000000000001,,,,0.6304054508483078,,0.6106463701808034,0.2270992640944877,,0.052213533465808475,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.219
0.9220000000000002,,,,0.6416883748452112,,0.6025116324778196,0.237410053684584,,0.055929608008040976,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.235
0.9369999999999998,,,,0.6529086622307984,,0.6453480417105115,0.2472451930106677,,0.05956452235825537,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.25
0.9529999999999998,,,,0.6644480902633686,,0.6185431347069942,0.2579180860151693,,0.06360582859046207,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.266
0.9689999999999999,,,,0.6752248272189975,,0.5708749423981581,0.2687695083395764,,0.06781932934529997,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.282
0.9839999999999995,,,,0.6857387169318053,,0.5982548635252274,0.2791023964687211,,0.07192836863136218,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.297
0.9999999999999996,,,,0.6960275492145876,,0.5403809003452493,0.2902905655824404,,0.07648351232777137,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.313
1.0159999999999996,,,,0.7050983333486124,,0.4642528910479,0.3016336116274942,,0.08121890574545088,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.329
1.0310000000000001,,,,0.7139438731894413,,0.48703153872659366,0.3124020897245439,,0.08582417350559138,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.344
1.0470000000000002,,,,0.7242704870602897,,0.5427422495993812,0.3240418435910899,,0.09091572497211647,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.36
1.0619999999999998,,,,0.7343790447487902,,0.5712327285714022,0.3351073766276717,,0.09585934412375707,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.375
1.0779999999999998,,,,0.7435059850185955,,0.46776264953418645,0.347064495850359,,0.10131671910358127,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.391
1.0939999999999999,,,,0.7523763833496667,,0.4517287783633025,0.3591655937818532,,0.10696655982063898,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.407
1.1089999999999995,,,,0.7610431874637201,,0.47511582360826077,0.3706419021109673,,0.11244011603983507,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.422
1.1249999999999996,,,,0.7686831360854801,,0.37482567153135327,0.3830137516839091,,0.11846936127019407,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.438
1.1409999999999996,,,,0.7772731340249807,,0.43420375389013854,0.395515440829341,,0.12469759481030007,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.454
1.1560000000000001,,,,0.785622153308582,,0.4539301682447551,0.407362817032357,,0.13071918174426306,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.469
1.1720000000000002,,,,0.7939208419650027,,0.4159969236976476,0.4201331999790939,,0.13733914988035467,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.485
1.1869999999999998,,,,0.8003804037139642,,0.3279663326021346,0.4322161208696998,,0.14373176978672045,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.5
1.2029999999999998,,,,0.8060364799282028,,0.2508336460612657,0.4452014949233853,,0.15075111071306516,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.516
1.2189999999999999,,,,0.8115459460420756,,0.2416705147884055,0.4582761933156957,,0.15797893221897777,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.532
1.2339999999999995,,,,0.8169210349336585,,0.2556681421102217,0.4706153572210274,,0.16494561884800307,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.547
1.2499999999999996,,,,0.8230356047796957,,0.2794894980486793,0.4838690493232824,,0.17258149410035756,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.563
1.2659999999999996,,,,0.8302252642677815,,0.3466826006767173,0.497229175260211,,0.18043027989702545,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.579
1.2810000000000001,,,,0.8357535951131291,,0.2658842723611767,0.5098496782535826,,0.18798337129837925,up,up,up,-1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.594
1.2970000000000002,,,,0.8412619481590796,,0.24160094804326326,0.5233998415843085,,0.19624936745708235,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.61
1.3119999999999998,,,,0.8466359511307379,,0.2555957474485785,0.5361847373769958,,0.20419625179929196,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.625
1.3279999999999998,,,,0.8518927284318726,,0.22587746399227426,0.5499070057980449,,0.21288498574469236,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.641
1.3439999999999999,,,,0.8578183941844043,,0.2676829922045873,0.5637187337635232,,0.22179399166118485,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.657
1.3589999999999995,,,,0.8635995315039474,,0.28273803730756997,0.5767550297541995,,0.23034754488756765,up,up,up,1.0,0.1026711173286453,0.0083774365342605,0.0,1.922423678929396e-06,4.672
