timestamps,acc_x,acc_y,acc_z,aAcc,aStages,aJerk,aVelocity,avStages,aHeight,accelerations_direction,velocities_direction,heights_direction,jerk_direction,start_jerks,start_accelerations,start_velocities,start_heights,actual_timestamps
0.3119999999999994,,,,0.1745383417074482,,0.4879339874979141,0.1120920566765336,,0.11276868369274289,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.14
0.3279999999999994,,,,0.18010474961922002,,0.4196623356106373,0.1164326413806207,,0.11940230665978689,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.156
0.359,,,,0.18617917997314132,,0.2677112073804175,0.12466209125167121,,0.13244978669434954,up,down,down,-1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.187
0.375,,,,0.1921016945664249,,0.44191900320511524,0.12881357369005514,,0.1392830173964701,up,down,down,-1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.203
0.3899999999999997,,,,0.1955579993349072,,0.3021821590237239,0.1326352473308266,,0.1457489698503016,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.218
0.4059999999999997,,,,0.2025496249090217,,0.50873843950705,0.13662811577157563,,0.1527085021377076,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.234
0.4219999999999997,,,,0.20936879594713,,0.4979600310066607,0.14051049783942682,,0.1597310364291823,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.25
0.4369999999999994,,,,0.213942689922133,,0.37668810612510684,0.1440647830404389,,0.16637043733195622,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.265
0.4529999999999994,,,,0.2190485233070554,,0.3908764276825401,0.14777858276930572,,0.173510609641021,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.281
0.46799999999999997,,,,0.2240417125463043,,0.4046411237414803,0.1511845273454373,,0.1802579192630569,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.296
0.484,,,,0.2296494775408408,,0.4222471532834278,0.15473272725944054,,0.1875106826824826,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.312
0.5,,,,0.2342580141846877,,0.3597953813653239,0.1581991967603366,,0.19481956345722762,up,down,down,1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.328
0.5149999999999997,,,,0.2387627254290301,,0.3720759240810601,0.16138066255826533,,0.2017214986982921,up,down,down,-1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.343
0.5309999999999997,,,,0.2435600588797086,,0.37159518179230544,0.1646998097184958,,0.20913556785909293,up,down,down,-1.0,-0.0717618411248954,-0.4486080896687738,-0.3003390864116718,-0.1214171524696659,5.359
