timestamps,aAcc,aJerk,aVelocity,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction,start_jerks,start_accelerations,start_velocities,start_heights,actual_timestamps
1.1720000000000002,0.0191045150725734,0.21802691628036688,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.079
1.1869999999999998,0.0181696888423398,0.1530267472320753,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.094
1.2029999999999998,0.0172576632518683,0.15834689650984207,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.11
1.218,0.0163881257731758,0.15737933066815069,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.125
1.234,0.0159658765102914,0.1889579169840337,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.141
1.25,0.0154191662824362,0.18117910667336798,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.157
1.2650000000000001,0.0148813599975313,0.17949474358730888,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.172
1.2810000000000001,0.0143566709390868,0.1825554297615327,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.188
1.3119999999999998,0.014408983620612,0.2170360017699676,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.219
1.3279999999999998,0.0155953228500961,0.28949469775707526,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.235
1.343,0.0167527269764224,0.2925087710027299,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.25
1.359,0.0191807542012724,0.36710019746744,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.266
1.375,0.021754085798248,0.37618172072528777,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.282
1.3900000000000001,0.0243631329327413,0.3892849715471974,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.297
1.4060000000000001,0.0269085447712704,0.3744367358223806,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.313
1.4220000000000002,0.0295061202918577,0.37769696595102387,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.329
1.4369999999999998,0.032006038858616595,0.3820097336982442,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.344
1.4529999999999998,0.0352008268552665,0.415022745704929,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.36
1.468,0.0388368539503839,0.4577503022554752,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.375
1.484,0.045372701157356504,0.6238389463500964,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.391
1.5,0.0529605062229644,0.689586312514811,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.407
1.5150000000000001,0.0603632428723379,0.7088642725392034,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.422
1.5310000000000001,0.06778043233788181,0.6789228375108085,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.438
1.5470000000000002,0.0749988990321134,0.6665026643037912,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.454
1.5619999999999998,0.08330495884354491,0.769085816676426,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.469
1.5779999999999998,0.0927430533629589,0.8052294033776822,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.485
1.593,0.10098522282574499,0.7648264601000495,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.5
1.609,0.10902636376504829,0.7179198046207695,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.516
1.625,0.11877819387130359,0.8248378775552726,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.532
1.6400000000000001,0.1301912268671134,0.9762173623016244,0.0,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.547
1.6560000000000001,0.1413031260204337,0.9098421929968339,0.010607065434112599,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.563
1.6869999999999998,0.1527256270823826,0.5838162721062159,0.014693654942247199,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.594
1.7029999999999998,0.16388529694904,0.9128278625804,0.0169835197977456,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.61
1.718,0.174430013143489,0.9183295755442388,0.0192930509952336,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.625
1.734,0.1873063407904993,1.0201189738524565,0.021943919289952502,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.641
1.75,0.2008936610066935,1.064556009426453,0.024806496767577,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.657
1.7650000000000001,0.2141495831688348,1.0990766400570617,0.0276914874706876,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.672
1.7810000000000001,0.2299402175993776,1.2022631478232337,0.031001183340080302,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.688
1.7970000000000002,0.24531666705001232,1.1763765865789855,0.034560215880522396,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.704
1.8119999999999998,0.2603454351895332,1.2172663718823964,0.038124848019112895,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.719
1.8279999999999998,0.2772645346437005,1.2727922117997659,0.0421827052410258,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.735
1.843,0.2919461443543979,1.1941224766274674,0.0462239517053056,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.75
1.859,0.30622712196759133,1.1079095967388977,0.0507663152991285,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.766
1.875,0.3204450163187857,1.1039668928639603,0.0555366698686665,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.782
1.8900000000000001,0.3365087201172371,1.286262082477735,0.0602359892637308,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.797
1.9060000000000001,0.3521565768160232,1.1933395395884439,0.06550228910244389,0.0,up,down,down,down,0.2153484959143135,0.0151889085470635,0.0001194235347657,-8.205866025524634e-06,3.813
