timestamps,acc_x,acc_y,acc_z,aAcc,aStages,aJerk,aVelocity,avStages,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction,start_jerks,start_accelerations,start_velocities,start_heights,actual_timestamps
0.7809999999999988,,,,0.26115559862911475,,0.6423447545322466,0.07900302258770298,,3.0496823287528514,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.016
0.7970000000000006,,,,0.2706907889536084,,0.539514841872684,0.08337629380648792,,3.1112098943810906,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.032
0.8120000000000012,,,,0.2808528932716517,,0.6210390677947648,0.08762396528391792,,3.1688273300873107,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.047
0.8440000000000012,,,,0.2909891066393336,,0.2603221143319614,0.09701043751873906,,3.291526379961212,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.079
0.8590000000000018,,,,0.30082995927367945,,0.599622288881602,0.10156017437382703,,3.348937038021404,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.094
0.875,,,,0.30963664716761485,,0.49398343996292954,0.1065624073434801,,3.410098657527044,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.11
0.8900000000000006,,,,0.31804284599963145,,0.5039787020596508,0.1113810974029752,,3.467364018890848,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.125
0.9059999999999988,,,,0.3266574560214189,,0.48197857295367613,0.11665719993726542,,3.528366312671494,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.141
0.9220000000000006,,,,0.3350243347865441,,0.46649536941216957,0.12206915438185195,,3.5892831019963296,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.157
0.9370000000000012,,,,0.34599920590696875,,0.6752235212868564,0.12728792479779427,,3.646312861551891,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.172
0.9690000000000012,,,,0.3553761957775717,,0.23659638004824202,0.1387469314609926,,3.767709504170469,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.204
0.9840000000000018,,,,0.36572628878134067,,0.6335716468431424,0.14426629395592494,,3.8244868426292555,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.219
1.0,,,,0.37421647332722335,,0.47420198070962877,0.15030433617091576,,3.8849568777476122,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.235
1.0150000000000006,,,,0.3825224890603281,,0.49729982879886453,0.15609097224956292,,3.9415588505838457,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.25
1.0309999999999988,,,,0.39231348098311797,,0.5555024417663369,0.1624081601280336,,4.0018374576842035,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.266
1.0470000000000006,,,,0.4018662553991846,,0.540613847595999,0.16888009813721494,,4.062013751777457,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.282
1.0620000000000012,,,,0.4110090935740179,,0.5530879915807662,0.17508775711525404,,4.118333930512492,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.297
1.0940000000000012,,,,0.4188560685800873,,0.1887834155315729,0.18860259994596618,,4.238168085118232,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.329
1.1090000000000018,,,,0.42738203886355386,,0.5119634654896529,0.19506047961253348,,4.294190549670972,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.344
1.125,,,,0.43570858871092355,,0.4639748120525656,0.20208370475125115,,4.353839996355404,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.36
1.1400000000000006,,,,0.44451046247883497,,0.5303570311193081,0.20879644149591492,,4.409658332907966,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.375
1.1559999999999988,,,,0.45252417013784907,,0.44442217528033917,0.21609121867497105,,4.469085831785975,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.391
1.1720000000000006,,,,0.4603132134915083,,0.4303806561955452,0.22351241786213016,,4.5283956028530525,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.407
1.1870000000000012,,,,0.46685173724665496,,0.3794670302683355,0.23057724885340614,,4.583889868002075,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.422
1.2029999999999994,,,,0.47523843627193335,,0.4677341356718561,0.23823247035967743,,4.642965990407731,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.438
1.2190000000000012,,,,0.4819991548394569,,0.36611035706207923,0.2460088712066919,,4.7019186598345755,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.454
1.2340000000000018,,,,0.48857577308273825,,0.3820066628106442,0.2533992770268494,,4.757073036372233,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.469
1.2650000000000006,,,,0.4957583557150383,,0.1752616605370722,0.2688860500020773,,4.8707041516120455,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.5
1.2809999999999988,,,,0.5034250501741263,,0.42273385028495314,0.27699801736731366,,4.929163679232445,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.516
1.2970000000000006,,,,0.5108824436534293,,0.4096525390482857,0.28523097743605685,,4.987492447433411,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.532
1.3120000000000012,,,,0.5176437465892133,,0.3943189756441542,0.2930560177236172,,5.042055232619134,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.547
1.3279999999999994,,,,0.5227691150056392,,0.263900972618554,0.30149782073449805,,5.100125402070816,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.563
1.3440000000000012,,,,0.5304879040613139,,0.4259897625715167,0.31004237700515747,,5.158059680648293,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.579
1.3590000000000018,,,,0.5375825006495277,,0.4165385524728097,0.3181639989012295,,5.2122480704784095,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.594
1.375,,,,0.5430758826324099,,0.2869018205220769,0.3269277660856069,,5.269913936517867,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.61
1.4059999999999988,,,,0.5484612026457595,,0.1172854470225405,0.3440761848862808,,5.381239913086574,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.641
1.4220000000000006,,,,0.5532525049338376,,0.24302183959675122,0.35300839466504197,,5.438489836609534,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.657
1.4370000000000012,,,,0.5583562136194528,,0.283812692299567,0.36145655391493126,,5.492031287144613,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.672
1.4529999999999994,,,,0.5633465909998369,,0.25546403286594344,0.3705486764700079,,5.549001845460893,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.688
1.4690000000000012,,,,0.5684587597496941,,0.26307599345794214,0.37972161939412796,,5.605826283253336,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.704
1.4840000000000018,,,,0.5735294313854188,,0.2816102223068712,0.3883976246883818,,5.65896532657213,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.719
1.5,,,,0.5784664760951125,,0.2521307409477924,0.39773209206634785,,5.715502888997449,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.735
1.5309999999999988,,,,0.5845480169733276,,0.13974418459884907,0.4159884106877709,,5.824616759013523,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.766
